feature,coefficient
gpt2_surprisal_sum,0.7599815080237605
sentence_position,-0.46474715582192244
gpt2_surprisal_var,-0.38254394546037407
noun_ratio,0.36657023865720695
bert_surprisal_std,0.33476302774867145
bert_surprisal_sum,-0.3236589934970608
gpt2_surprisal_std,0.28715828214263295
bert_surprisal_var,-0.28354272347159193
named_entity_density,0.2795451743862136
gpt2_surprisal_mean,-0.2722881735480993
lexical_density,-0.24574356413523699
intra_clause_density,-0.2405195502569364
rst_depth,-0.212813406854419
intra_top_clause_is_nucleus,0.1953799345942891
bert_surprisal_mean,0.1719094168729698
intra_avg_clause_depth,0.1684985485358906
verb_ratio,0.15497906532932396
rst_span_length,0.14807589912304442
rst_centrality_score,0.14807589912304442
sentence_length_words,-0.14165625100240875
