feature,coefficient
sentence_position,-0.48010969003532306
noun_ratio,0.3942045064343404
intra_clause_density,-0.3157575452534389
sentence_length_words,0.3111875303459582
named_entity_density,0.28032142102244373
lexical_density,-0.2528989510669673
intra_avg_clause_depth,0.22058345973946739
intra_top_clause_is_nucleus,0.20543739655135537
rst_depth,-0.19820238979187432
rst_centrality_score,0.143591853694611
rst_span_length,0.143591853694611
adj_ratio,0.1408123493774791
verb_ratio,0.13504527662718283
avg_word_length,-0.11378072085366377
type_token_ratio,0.09858745260553659
sentence_position_norm,0.06481047049928661
pronoun_ratio,-0.05058280076737246
causal_marker_ratio,0.0339813596352867
rst_is_root,0.033407530244595245
intra_has_nucleus_satellite_relation,-0.03023987253968961
