feature,coefficient
bert_surprisal_std,1.2835279440113567
bert_surprisal_var,-1.1747895143506777
gpt2_surprisal_sum,0.831979784573527
lexical_density,-0.5936357814517211
sentence_position,-0.5229921304126165
gpt2_surprisal_std,0.5001898690566509
gpt2_surprisal_var,-0.4976925513072068
sentence_length_words,-0.44237081062707895
bert_surprisal_min,0.42885678378167924
bert_surprisal_sum,-0.4208405089905078
noun_ratio,0.3853325813675244
rst_depth,-0.37305208916349625
intra_clause_density,-0.34257598298248987
verb_ratio,0.2578677094234724
rst_span_length,0.25126829129617095
rst_centrality_score,0.25126829129617095
intra_avg_clause_depth,0.21524994228948727
gpt2_surprisal_mean,-0.20877583557203222
sentence_position_norm,0.19957845613429503
causal_marker_ratio,0.17474498996508367
