feature,coefficient
lexical_density,-0.5847258604294644
sentence_position,-0.5082757818051223
noun_ratio,0.5046363870387005
rst_depth,-0.37637779028500584
intra_clause_density,-0.3105983141660857
intra_avg_clause_depth,0.28031974672306537
verb_ratio,0.2377495092818453
sentence_position_norm,0.2240379945338427
rst_centrality_score,0.21030617107878596
rst_span_length,0.21030617107878596
causal_marker_ratio,0.20039271628520708
named_entity_density,0.17443837056200157
intra_has_nucleus_satellite_relation,0.13478804068257094
type_token_ratio,0.13188516740287418
intra_clause_count,0.12402945125637373
pronoun_ratio,-0.11355245638308845
avg_word_length,-0.0836161344816043
contrast_marker_ratio,-0.06699099384476515
sentence_length_words,0.054671088366452514
adj_ratio,-0.050923097206683386
